year,Location,pop_sum_20kbuff,pop_sum_50kbuff,pop_sum_100kbuff,pop_sum_200kbuff,pop_sum_300kbuff,year_fac
2000,Bikoro,19018,108339,515460,1116310,2213700,1999_2000
2001,Bikoro,19707,115509,534802,1141113,2285158,2000_2001
2002,Bikoro,20398,109083,553151,1145157,2227060,2001_2002
2003,Bikoro,21378,113362,571775,1173949,2284553,2002_2003
2004,Bikoro,22882,122272,547297,1109264,2326357,2003_2004
2005,Bikoro,22396,125089,566669,1172810,2468713,2004_2005
2006,Bikoro,23465,130824,596890,1246558,2636114,2005_2006
2007,Bikoro,24608,137323,595475,1276097,2731260,2006_2007
2008,Bikoro,24874,138888,602369,1291875,2761393,2007_2008
2009,Bikoro,25742,143411,621982,1326280,2851152,2008_2009
2010,Bikoro,26555,148223,642493,1371382,2945480,2009_2010
2011,Bikoro,26837,149773,649885,1387739,2982427,2010_2011
2012,Bikoro,26036,168350,669356,1429749,3031688,2011_2012
2013,Bikoro,26703,173138,686428,1480125,3136928,2012_2013
2014,Bikoro,27097,175791,705512,1516772,3222246,2013_2014
2015,Bikoro,31090,196248,725574,1562610,3338478,2014_2015
2016,Bikoro,31621,199895,743972,1608981,3432431,2015_2016
2017,Bikoro,29882,189668,748825,1658160,3527981,2016_2017
2018,Bikoro,30544,193730,768869,1699224,3592192,2017_2018
2019,Bikoro,37740,238320,906462,1973321,4107916,2018_2019
2020,Bikoro,37901,249218,1043611,2054567,4316118,2019_2020
2021,Bikoro,39215,257202,1083741,2124310,4451312,2020_2021
2022,Bikoro,40952,265808,1137776,2201833,4597397,2021_2022
2000,Boende,8916,58359,238290,948528,2756461,1999_2000
2001,Boende,9564,60256,253256,976522,2853798,2000_2001
2002,Boende,10313,66283,275314,1051836,3019632,2001_2002
2003,Boende,10516,67900,283774,1081562,3114802,2002_2003
2004,Boende,12967,70618,273943,1075230,3119191,2003_2004
2005,Boende,14438,67866,283162,1107972,3261312,2004_2005
2006,Boende,14821,70982,296761,1160241,3425264,2005_2006
2007,Boende,15571,74535,310797,1217213,3563110,2006_2007
2008,Boende,15780,75455,314661,1231363,3604637,2007_2008
2009,Boende,16265,77846,325440,1272387,3723055,2008_2009
2010,Boende,16888,80428,335722,1313016,3843151,2009_2010
2011,Boende,17057,81288,339130,1328158,3885010,2010_2011
2012,Boende,20072,96672,352055,1347044,4013681,2011_2012
2013,Boende,20735,99404,361390,1380819,4105369,2012_2013
2014,Boende,21195,102147,371085,1412844,4232551,2013_2014
2015,Boende,20381,95989,356571,1453721,4374185,2014_2015
2016,Boende,20778,98896,366275,1486759,4484423,2015_2016
2017,Boende,24030,105846,375048,1497474,4690058,2016_2017
2018,Boende,24596,108238,383197,1536522,4798154,2017_2018
2019,Boende,29145,127083,442397,1775149,5568322,2018_2019
2020,Boende,44259,159461,518210,1745808,5766748,2019_2020
2021,Boende,45692,164982,535165,1800411,5948774,2020_2021
2022,Boende,47396,170715,552415,1857454,6139988,2021_2022
2000,Ekata,1626,12947,53621,225219,647031,1999_2000
2001,Ekata,1647,12897,51274,212737,636695,2000_2001
2002,Ekata,1117,8264,30982,197569,663597,2001_2002
2003,Ekata,1061,7534,28600,197869,696029,2002_2003
2004,Ekata,959,6982,22583,166088,623759,2003_2004
2005,Ekata,998,8540,32369,198150,659725,2004_2005
2006,Ekata,1132,9011,34162,201547,658264,2005_2006
2007,Ekata,1158,9127,34970,207255,680291,2006_2007
2008,Ekata,1192,9327,35841,221377,739181,2007_2008
2009,Ekata,1212,9508,36754,227622,758670,2008_2009
2010,Ekata,1191,9459,37096,235385,778707,2009_2010
2011,Ekata,1212,9647,37990,232835,761630,2010_2011
2012,Ekata,1141,10137,37759,237656,784982,2011_2012
2013,Ekata,1082,8363,36664,218590,761120,2012_2013
2014,Ekata,1107,8810,38148,227410,800679,2013_2014
2015,Ekata,1101,8946,38844,232992,820845,2014_2015
2016,Ekata,1031,8062,36969,215682,832564,2015_2016
2017,Ekata,1028,7775,39653,218764,851767,2016_2017
2018,Ekata,1209,9102,42515,234897,926322,2017_2018
2019,Ekata,1214,9287,43441,241204,954490,2018_2019
2020,Ekata,1222,9960,40819,239847,985362,2019_2020
2021,Ekata,1253,10206,41796,245622,1008999,2020_2021
2022,Ekata,1593,10919,44803,251889,1042027,2021_2022
