pop_yr_n,Location,wpr_est20,wpr_est50,wpr_est100,wpr_est200,wpr_est300
2000,Bikoro,16232.06638,115542.3997,505045.0964,1000586.009,2104380.777
2001,Bikoro,16266.13618,118520.0785,518902.8957,1025555.925,2156719.552
2002,Bikoro,16866.65091,124245.5983,537655.2025,1056949.544,2228497.542
2003,Bikoro,17237.66772,126974.2609,556237.1164,1089486.101,2291293.703
2004,Bikoro,20091.79156,137245.7234,582007.5783,1138861.727,2375235.851
2005,Bikoro,19932.52237,138219.8674,604328.4447,1177393.004,2439907.162
2006,Bikoro,21065.70987,143723.6631,626534.6775,1219609.401,2527567.058
2007,Bikoro,21994.71352,150072.6842,652036.8335,1263719.892,2621370.266
2008,Bikoro,23488.48242,158291.9588,666192.6679,1295596.918,2714842.433
2009,Bikoro,22484.17009,156197.4616,693094.0024,1344849.794,2795308.088
2010,Bikoro,24428.2643,163729.8324,723848.5034,1398885.636,2896282.581
2011,Bikoro,25286.69328,170982.0649,755486.6521,1444009.297,3005010.652
2012,Bikoro,27687.53763,185867.966,781392.6267,1470481.91,3124490.275
2013,Bikoro,26912.38845,186422.7789,807170.7211,1541174.134,3231598.333
2014,Bikoro,28110.25073,192553.9413,839793.8976,1608083.346,3368015.088
2015,Bikoro,29357.92257,201108.9777,867502.4372,1663829.894,3481362.361
2016,Bikoro,32300.60221,212056.7559,903153.4641,1732278.738,3634829.215
2017,Bikoro,31806.79155,214184.7022,935239.3143,1809713.012,3770987.721
2018,Bikoro,33814.88209,223500.1562,963851.2803,1895497.196,3957276.113
2019,Bikoro,34882.46145,232909.7981,1005035.051,1970955.433,4120616.074
2020,Bikoro,37901,249218,1043611,2054567,4316118
2000,Boende,18906.72223,72293.64578,244987.9078,828557.0197,2763196.811
2001,Boende,20349.51355,73957.81419,246600.8586,847896.2377,2871708.071
2002,Boende,22674.17439,79400.18069,258406.4238,881551.6509,2977987.458
2003,Boende,22714.34665,79812.87494,263813.3439,903731.1362,3092936.402
