"st_loc","near_loc","overlap_percent20","overlap_percent50","overlap_percent100","overlap_percent200","overlap_percent300"
"Mekouka","Mbandaka20",0,0,0,0,0
"Mekouka","Luebo",0,0,0,0,0
"Mekouka","Mbandaka22",0,0,0,0,0
"Mekouka","Odzala",0,0,0,32.7,53.6
"Mekouka","Mayibout",0,49.7,74.3,87.1,91.4
"Mekouka","Ekata",0,0,10.7,50.7,66.6
"Mekouka","Kikwit",0,0,0,0,0
"Mekouka","Bikoro",0,0,0,0,0
"Mekouka","Mbandza",0,0,0,34.9,55.3
"Mekouka","Olloba01",0,0,2.4,43.3,61.4
"Mekouka","Nkivu",0,0,0,0,0
"Mekouka","Booue",0,0,2.6,43.5,61.5
"Mekouka","Likati",0,0,0,0,0
"Mekouka","Boende",0,0,0,0,0
"Mekouka","Mvoula",0,0,0,32.4,53.4
"Mekouka","Mekouka",100,100,100,100,100
"Mekouka","Olloba02",0,0,2.4,43.3,61.4
"Booue","Mbandaka20",0,0,0,0,0
"Booue","Luebo",0,0,0,0,0
"Booue","Mbandaka22",0,0,0,0,0
"Booue","Odzala",0,0,0,5.3,30.3
"Booue","Mayibout",0,0,6.7,47.4,64.3
"Booue","Ekata",0,0,0,24.9,47.7
"Booue","Kikwit",0,0,0,0,0
"Booue","Bikoro",0,0,0,0,0
"Booue","Mbandza",0,0,0,13.3,38.1
"Booue","Olloba01",0,0,0,19.7,43.5
"Booue","Nkivu",0,0,0,0,0
"Booue","Booue",100,100,100,100,100
"Booue","Likati",0,0,0,0,0
"Booue","Boende",0,0,0,0,0
"Booue","Mvoula",0,0,0,20,43.8
"Booue","Mekouka",0,0,2.6,43.5,61.5
"Booue","Olloba02",0,0,0,19.7,43.5
"Mayibout","Mbandaka20",0,0,0,0,0.4
"Mayibout","Luebo",0,0,0,0,0
"Mayibout","Mbandaka22",0,0,0,0,0.4
"Mayibout","Odzala",0,0,0,38.5,57.9
"Mayibout","Mayibout",100,100,100,100,100
"Mayibout","Ekata",0,0,25.4,60.5,73.4
"Mayibout","Kikwit",0,0,0,0,0
"Mayibout","Bikoro",0,0,0,0,0
"Mayibout","Mbandza",0,0,2.7,43.6,61.6
"Mayibout","Olloba01",0,0,13.4,52.7,68
"Mayibout","Nkivu",0,0,0,0,0
"Mayibout","Booue",0,0,6.7,47.4,64.3
"Mayibout","Likati",0,0,0,0,0
"Mayibout","Boende",0,0,0,0,0
"Mayibout","Mvoula",0,0,1.9,42.7,60.9
"Mayibout","Mekouka",0,49.7,74.3,87.1,91.4
"Mayibout","Olloba02",0,0,13.4,52.7,68
"Ekata","Mbandaka20",0,0,0,0,12.6
"Ekata","Luebo",0,0,0,0,0
"Ekata","Mbandaka22",0,0,0,0,12.7
"Ekata","Odzala",0,0.7,40.9,69.5,79.6
"Ekata","Mayibout",0,0,25.4,60.5,73.4
"Ekata","Ekata",100,100,100,100,100
"Ekata","Kikwit",0,0,0,0,0
"Ekata","Bikoro",0,0,0,0,7.5
"Ekata","Mbandza",0,30.6,63.6,81.6,87.7
"Ekata","Olloba01",22.8,66.9,83.3,91.6,94.4
"Ekata","Nkivu",0,0,0,0,0
"Ekata","Booue",0,0,0,24.9,47.7
"Ekata","Likati",0,0,0,0,0
"Ekata","Boende",0,0,0,0,0
"Ekata","Mvoula",0,13.7,52.9,76,83.9
"Ekata","Mekouka",0,0,10.7,50.7,66.6
"Ekata","Olloba02",22.8,66.9,83.3,91.6,94.4
"Olloba01","Mbandaka20",0,0,0,0,16.2
"Olloba01","Luebo",0,0,0,0,0
