"Location","buffer","Description","Value","year","cumsum_diff_pland","year_fac","color"
"Bikoro","100","Bare areas",200,1992,NA,"1991_1992","#FFF5D7"
"Boende","100","Bare areas",200,1992,NA,"1991_1992","#FFF5D7"
"Kikwit","100","Bare areas",200,1992,NA,"1991_1992","#FFF5D7"
"Likati","100","Bare areas",200,1992,NA,"1991_1992","#FFF5D7"
"Mbandaka","100","Bare areas",200,1992,NA,"1991_1992","#FFF5D7"
"NKivu","100","Bare areas",200,1992,NA,"1991_1992","#FFF5D7"
"Kikwit","100","Cropland, irrigated or post-flooding",20,1992,NA,"1991_1992","#AAF0F0"
"Luebo","100","Cropland, irrigated or post-flooding",20,1992,NA,"1991_1992","#AAF0F0"
"Bikoro","100","Cropland, rainfed",10,1992,NA,"1991_1992","yellow1"
"Boende","100","Cropland, rainfed",10,1992,NA,"1991_1992","yellow1"
"Kikwit","100","Cropland, rainfed",10,1992,NA,"1991_1992","yellow1"
"Likati","100","Cropland, rainfed",10,1992,NA,"1991_1992","yellow1"
"Luebo","100","Cropland, rainfed",10,1992,NA,"1991_1992","yellow1"
"Mbandaka","100","Cropland, rainfed",10,1992,NA,"1991_1992","yellow1"
"NKivu","100","Cropland, rainfed",10,1992,NA,"1991_1992","yellow1"
"Kikwit","100","Decidiuous shrubland",122,1992,NA,"1991_1992","#966400"
"Kikwit","100","Grasslands",130,1992,NA,"1991_1992","#FFB432"
"Luebo","100","Grasslands",130,1992,NA,"1991_1992","#FFB432"
"NKivu","100","Grasslands",130,1992,NA,"1991_1992","#FFB432"
"Bikoro","100","Herbaceous cover",11,1992,NA,"1991_1992","gold1"
"Boende","100","Herbaceous cover",11,1992,NA,"1991_1992","gold1"
"Kikwit","100","Herbaceous cover",11,1992,NA,"1991_1992","gold1"
"Likati","100","Herbaceous cover",11,1992,NA,"1991_1992","gold1"
"Luebo","100","Herbaceous cover",11,1992,NA,"1991_1992","gold1"
"Mbandaka","100","Herbaceous cover",11,1992,NA,"1991_1992","gold1"
"NKivu","100","Herbaceous cover",11,1992,NA,"1991_1992","gold1"
"Bikoro","100","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,1992,NA,"1991_1992","#DCF064"
"Boende","100","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,1992,NA,"1991_1992","#DCF064"
"Kikwit","100","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,1992,NA,"1991_1992","#DCF064"
"Likati","100","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,1992,NA,"1991_1992","#DCF064"
"Luebo","100","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,1992,NA,"1991_1992","#DCF064"
"Mbandaka","100","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,1992,NA,"1991_1992","#DCF064"
"NKivu","100","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,1992,NA,"1991_1992","#DCF064"
"Kikwit","100","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",110,1992,NA,"1991_1992","#BE9600"
"Likati","100","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",110,1992,NA,"1991_1992","#BE9600"
"Luebo","100","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",110,1992,NA,"1991_1992","#BE9600"
"Mbandaka","100","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",110,1992,NA,"1991_1992","#BE9600"
"NKivu","100","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",110,1992,NA,"1991_1992","#BE9600"
"Bikoro","100","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",40,1992,NA,"1991_1992","#C8C864"
