"Location","year","forst_ha_buff100","forst_ha_buff200","forst_ha_buff20","forst_ha_buff300","forst_ha_buff50","diff_ha_forst_20k_1yr","diff_ha_forst_20k_2yr","diff_ha_forst_20k_3yr","diff_ha_forst_20k_4yr","diff_ha_forst_20k_5yr","diff_ha_forst_50k_1yr","diff_ha_forst_50k_2yr","diff_ha_forst_50k_3yr","diff_ha_forst_50k_4yr","diff_ha_forst_50k_5yr","diff_ha_forst_100k_1yr","diff_ha_forst_100k_2yr","diff_ha_forst_100k_3yr","diff_ha_forst_100k_4yr","diff_ha_forst_100k_5yr","diff_ha_forst_200k_1yr","diff_ha_forst_200k_2yr","diff_ha_forst_200k_3yr","diff_ha_forst_200k_4yr","diff_ha_forst_200k_5yr","diff_ha_forst_300k_1yr","diff_ha_forst_300k_2yr","diff_ha_forst_300k_3yr","diff_ha_forst_300k_4yr","diff_ha_forst_300k_5yr","yrfac","spillprd","spillyr"
"Bikoro",1992,678293.863580612,4120826.137438,16425003.8757104,66412560.3000478,146849082.737736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1992","Bikoro_1992","N"
"Bikoro",1993,678293.863580612,4120826.137438,16424946.8858042,66412503.3101416,146848911.768017,-56.9899061992764,NA,NA,NA,NA,-170.969718575478,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,-56.9899061992764,NA,NA,NA,NA,"1993","Bikoro_1993","N"
"Bikoro",1994,678293.863580612,4120826.137438,16424946.8858042,66412503.3101416,146848911.768017,0,-56.9899061992764,NA,NA,NA,0,-170.969718575478,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,-56.9899061992764,NA,NA,NA,"1994","Bikoro_1994","N"
"Bikoro",1995,678293.863580612,4121282.0566876,16429563.0682063,66465788.8724378,146934738.566753,4616.18240214139,4616.18240214139,4559.19249594212,NA,NA,85826.798735559,85826.798735559,85655.8290169835,NA,NA,0,0,0,NA,NA,455.919249595143,455.919249595143,455.919249595143,NA,NA,53285.5622961074,53285.5622961074,53228.5723899081,NA,NA,"1995","Bikoro_1995","N"
"Bikoro",1996,678293.863580612,4119800.31912642,16416170.4402496,66461058.7102232,146970699.197564,-13392.6279567219,-8776.44555458054,-8776.44555458054,-8833.43546077982,NA,35960.6308115423,121787.429547101,121787.429547101,121616.459828526,NA,0,0,0,0,NA,-1481.73756117607,-1025.81831158092,-1025.81831158092,-1025.81831158092,NA,-4730.16221453995,48555.4000815675,48555.4000815675,48498.4101753682,NA,"1996","Bikoro_1996","N"
"Bikoro",1997,678293.863580612,4126582.1179641,16450535.3536876,66513204.4743954,147092315.657393,34364.9134379663,20972.2854812443,25588.4678833857,25588.4678833857,25531.4779771864,121616.459829062,157577.090640604,243403.889376163,243403.889376163,243232.919657588,0,0,0,0,0,6781.79883767944,5300.06127650337,5755.98052609852,5755.98052609852,5755.98052609852,52145.7641721442,47415.6019576043,100701.164253712,100701.164253712,100644.174347512,"1997","Bikoro_1997","N"
"Bikoro",1998,678293.863580612,4125271.35012152,16437940.5844176,66483797.6827966,147014866.374869,-12594.7692699768,21770.1441679895,8377.51621126756,12993.698613409,12993.698613409,-77449.2825246155,44167.1773044467,80127.808115989,165954.606851548,165954.606851548,0,0,0,0,0,-1310.76784257777,5471.03099510167,3989.2934339256,4445.21268352075,4445.21268352075,-29406.7915987149,22738.9725734293,18008.8103588894,71294.3726549968,71294.3726549968,"1998","Bikoro_1998","N"
"Bikoro",1999,677439.01498763,4117577.71278466,16421071.5721827,66468068.4686857,146967564.752723,-16869.012234915,-29463.7815048918,4901.13193307444,-8491.49602364749,-3875.3136215061,-47301.6221453249,-124750.90466994,-3134.44484087825,32826.185970664,118652.984706223,-854.848592982045,-854.848592982045,-854.848592982045,-854.848592982045,-854.848592982045,-7693.63733686041,-9004.40517943818,-2222.60634175874,-3704.34390293481,-3248.42465333967,-15729.2141109407,-45136.0057096556,7009.75846248865,2279.59624794871,55565.1585440561,"1999","Bikoro_1999","N"
"Bikoro",2000,674931.459114872,4113075.51019494,16392690.5988956,66402245.1270259,147203901.893731,-28380.973287113,-45249.9855220281,-57844.7547920048,-23479.8413540386,-36872.4693107605,236337.141007453,189035.518862128,111586.236337513,233202.696166575,269163.326978117,-2507.5558727578,-3362.40446573985,-3362.40446573985,-3362.40446573985,-3362.40446573985,-4502.20258972328,-12195.8399265837,-13506.6077691615,-6724.80893148202,-8206.54649265809,-65823.3416598514,-81552.5557707921,-110959.347369507,-58813.5831973627,-63543.7454119027,"2000","Bikoro_2000","N"
"Bikoro",2001,677666.974612423,4118147.61184665,16410642.4193483,66457981.2552884,147534614.319403,17951.8204527013,-10429.1528344117,-27298.1650693268,-39892.9343393035,-5528.02090133727,330712.425672412,567049.566679865,519747.94453454,442298.662009925,563915.121838987,2735.51549755165,227.959624793846,-626.888968188199,-626.888968188199,-626.888968188199,5072.10165171139,569.899061988108,-7123.7382748723,-8434.50611745007,-1652.70727977064,55736.1282625943,-10087.213397257,-25816.4275081977,-55223.2191069126,-3077.45493476838,"2001","Bikoro_2001","N"
