"st_loc","near_loc","overlap_percent20","overlap_percent50","overlap_percent100","overlap_percent200","overlap_percent300"
"Mekouka","Luebo",0,0,0,0,0
"Mekouka","Mbandaka22",0,0,0,0,0
"Mekouka","Odzala",0,0,0,32.669499255076,53.628298944524
"Mekouka","Mayibout",0,49.6825808479989,74.2882476058282,87.0766819862102,91.3761749905311
"Mekouka","Ekata",0,0,10.7281905013808,50.7060957472043,66.6240195988858
"Mekouka","Kikwit",0,0,0,0,0
"Mekouka","Bikoro",0,0,0,0,0
"Mekouka","Mbandza",0,0,0,34.8567485856323,55.2521169931467
"Mekouka","Olloba01",0,0,2.43555544051327,43.2826918723956,61.371227570387
"Mekouka","Nkivu",0,0,0,0,0
"Mekouka","Booue",0,0,2.64016088969378,43.5184934731536,61.5398308688482
"Mekouka","Likati",0,0,0,0,0
"Mekouka","Boende",0,0,0,0,0
"Mekouka","Mvoula",0,0,0,32.3822121807986,53.4137354368861
"Mekouka","Mekouka",100,100,100,100,100
"Booue","Mbandaka20",0,0,0,0,0
"Booue","Mbandaka22",0,0,0,0,0
"Booue","Odzala",0,0,0,5.34880486060318,30.347180762173
"Booue","Mayibout",0,0,6.68088996558369,47.4482708260473,64.3320665693403
"Booue","Ekata",0,0,0,24.8883978834542,47.6912159289847
"Booue","Kikwit",0,0,0,0,0
"Booue","Bikoro",0,0,0,0,0
"Booue","Mbandza",0,0,0,13.2557206243576,38.0663374848388
"Booue","Olloba01",0,0,0,19.6541700051697,43.5076194870793
"Booue","Nkivu",0,0,0,0,0
"Booue","Booue",100,100,100,100,100
"Booue","Likati",0,0,0,0,0
"Booue","Boende",0,0,0,0,0
"Booue","Mvoula",0,0,0,19.9634094318252,43.7603161311138
"Booue","Mekouka",0,0,2.64016088969378,43.5184934731536,61.5398308688482
"Mayibout","Mbandaka20",0,0,0,0,0.36151452095372
"Mayibout","Luebo",0,0,0,0,0
"Mayibout","Odzala",0,0,0,38.5229030885644,57.9388167585434
"Mayibout","Mayibout",100,100,100,100,100
"Mayibout","Ekata",0,0,25.3909708316032,60.5218012194483,73.429140926482
"Mayibout","Kikwit",0,0,0,0,0
"Mayibout","Bikoro",0,0,0,0,0
"Mayibout","Mbandza",0,0,2.70289610241136,43.5896564276918,61.5906891257797
"Mayibout","Olloba01",0,0,13.4216259470836,52.6847262034833,68.0070931502356
"Mayibout","Nkivu",0,0,0,0,0
"Mayibout","Booue",0,0,6.68088996558369,47.4482708260473,64.3320665693403
"Mayibout","Likati",0,0,0,0,0
"Mayibout","Boende",0,0,0,0,0
"Mayibout","Mvoula",0,0,1.93965158678465,42.6839061453889,60.9425078240762
"Mayibout","Mekouka",0,49.6825808479989,74.2882476058282,87.0766819862102,91.3761749905311
"Ekata","Mbandaka20",0,0,0,0,12.5593354217092
"Ekata","Luebo",0,0,0,0,0
"Ekata","Mbandaka22",0,0,0,0,12.6638048432896
"Ekata","Mayibout",0,0,25.3909708316032,60.5218012194483,73.429140926482
"Ekata","Ekata",100,100,100,100,100
"Ekata","Kikwit",0,0,0,0,0
"Ekata","Bikoro",0,0,0,0,7.46747969855106
"Ekata","Mbandza",0,30.5503488254547,63.61131878013,81.6086026126157,87.7150201398191
"Ekata","Olloba01",22.8319616160178,66.9280504547315,83.3176654934786,91.6407190240365,94.4249149290131
"Ekata","Nkivu",0,0,0,0,0
"Ekata","Booue",0,0,0,24.8883978834542,47.6912159289847
"Ekata","Likati",0,0,0,0,0
"Ekata","Boende",0,0,0,0,0
"Ekata","Mvoula",0,13.7069756166615,52.8879029330876,75.9972317148814,83.9441104289881
"Ekata","Mekouka",0,0,10.7281905013808,50.7060957472043,66.6240195988858
"Olloba01","Mbandaka20",0,0,0,0,16.1728856607998
"Olloba01","Luebo",0,0,0,0,0
"Olloba01","Mbandaka22",0,0,0,0,16.2853761649346
"Olloba01","Odzala",0,9.02087479037114,49.3826983675252,74.1274694203847,82.6836702251034
"Olloba01","Ekata",22.8319616160178,66.9280504547315,83.3176654934786,91.6407190240365,94.4249149290131
"Olloba01","Kikwit",0,0,0,0,0
"Olloba01","Bikoro",0,0,0,0,10.668891259924
"Olloba01","Mbandza",10.7394976301472,60.1707287007922,79.8237269230812,89.8796385475248,93.2491275169624
"Olloba01","Olloba01",100,100,100,100,100
