"Location","yrfac","buffer","year","forest_sum_ha","total","pct_buff"
"Bikoro","1992","100",1992,2737500.64595173,18849240.5056038,14.5231350045
"Bikoro","1992","20",1992,113048.977263435,754090.438825298,14.9914349052801
"Bikoro","1992","20",1992,113048.977263435,754090.438825294,14.9914349052801
"Bikoro","1992","200",1992,11068760.050008,75399070.6489449,14.6802340595731
"Bikoro","1992","200",1992,11068760.050008,75399070.648945,14.6802340595731
"Bikoro","1992","300",1992,24474847.122956,169645558.126496,14.4270486025377
"Bikoro","1992","50",1992,686804.356239667,4711925.44453412,14.5758748588938
"Bikoro","1993","100",1993,2737491.14763403,18849240.5056038,14.5230846135163
"Bikoro","1993","20",1993,113048.977263435,754090.438825298,14.9914349052801
"Bikoro","1993","20",1993,113048.977263435,754090.438825294,14.9914349052801
"Bikoro","1993","200",1993,11068750.5516903,75399070.6489448,14.6802214621795
"Bikoro","1993","200",1993,11068750.5516903,75399070.648945,14.6802214621795
"Bikoro","1993","300",1993,24474818.6280029,169645558.126496,14.4270318057802
"Bikoro","1993","50",1993,686804.356239667,4711925.44453412,14.5758748588938
"Bikoro","1994","100",1994,2737491.14763403,18849240.5056038,14.5230846135163
"Bikoro","1994","20",1994,113048.977263435,754090.438825294,14.9914349052801
"Bikoro","1994","20",1994,113048.977263435,754090.438825298,14.9914349052801
"Bikoro","1994","200",1994,11068750.5516903,75399070.6489448,14.6802214621795
"Bikoro","1994","200",1994,11068750.5516903,75399070.648945,14.6802214621795
"Bikoro","1994","300",1994,24474818.6280029,169645558.126496,14.4270318057802
"Bikoro","1994","50",1994,686804.356239667,4711925.44453412,14.5758748588938
"Bikoro","1995","100",1995,2738260.51136772,18849240.5056039,14.5271662831913
"Bikoro","1995","20",1995,113048.977263435,754090.438825294,14.9914349052801
"Bikoro","1995","20",1995,113048.977263435,754090.438825298,14.9914349052801
"Bikoro","1995","200",1995,11077631.4787396,75399070.6489449,14.6920000251948
"Bikoro","1995","200",1995,11077631.4787396,75399070.648945,14.6920000251948
"Bikoro","1995","300",1995,24489123.0944588,169645558.126496,14.4354637780722
"Bikoro","1995","50",1995,686880.342781266,4711925.44453412,14.5774875020158
"Bikoro","1995","50",1995,686880.342781266,4711925.44453413,14.5774875020158
"Bikoro","1996","100",1996,2736028.40670826,18849240.5056039,14.5153244020354
"Bikoro","1996","20",1996,113048.977263435,754090.438825294,14.9914349052801
"Bikoro","1996","20",1996,113048.977263435,754090.438825298,14.9914349052801
"Bikoro","1996","200",1996,11076843.1183705,75399070.6489448,14.6909544415261
"Bikoro","1996","200",1996,11076843.1183705,75399070.648945,14.690954441526
"Bikoro","1996","300",1996,24495116.5329274,169645558.126496,14.4389966960777
